EventLog,RecordNumber,TimeGenerated,TimeWritten,EventID,EventType,EventTypeName,EventCategory,EventCategoryName,SourceName,Strings,ComputerName,SID,Message,Data
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1980,2021-07-06 11:53:57,2021-07-06 11:53:57,21,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 21 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1981,2021-07-06 11:53:58,2021-07-06 11:53:58,22,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 22 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1982,2021-07-06 17:53:25,2021-07-06 17:53:25,23,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1,USER-20200925IG,S-1-5-18,The description for Event ID 23 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1983,2021-07-06 17:53:30,2021-07-06 17:53:30,17,1,Error event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,0x800706b5,USER-20200925IG,S-1-5-18,The description for Event ID 17 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1984,2021-07-06 18:03:47,2021-07-06 18:03:47,21,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 21 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1985,2021-07-06 18:03:47,2021-07-06 18:03:47,22,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 22 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1986,2021-07-06 20:27:45,2021-07-06 20:27:45,23,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1,USER-20200925IG,S-1-5-18,The description for Event ID 23 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1987,2021-07-06 20:27:48,2021-07-06 20:27:48,17,1,Error event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,0x800706b5,USER-20200925IG,S-1-5-18,The description for Event ID 17 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1988,2021-07-06 21:16:56,2021-07-06 21:16:56,21,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 21 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
G:\Program Files (x86)\Log Parser 2.2\rdp.evtx,1989,2021-07-06 21:16:56,2021-07-06 21:16:56,22,4,Information event,0,None,Microsoft-Windows-TerminalServices-LocalSessionManager,USER-20200925IG\Administrator|1|本地,USER-20200925IG,S-1-5-18,The description for Event ID 22 in Source "Microsoft-Windows-TerminalServices-LocalSessionManager" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer,
